tweets
Life is a mumbo jumbo #LifeQuotes
To be or not to be #LifeQuotes
How many roads must a man walk ? #BobDylan #LifeQuotes
"Maybe tomorrow, I will find my way home ! #LifeQuotes #Stereophonics"
